#,Company,Location_HQ,Region,State,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,latitude,longitude
1,"Tamara Mellon","Los Angeles",Unknown,California,USA,"North America",20,2020-03-12,40,50,30,Retail,"Series C",90,34.0536909,-118.242766
2,HopSkipDrive,"Los Angeles",Unknown,California,USA,"North America",8,2020-03-13,10,80,72,Transportation,Unknown,45,34.0536909,-118.242766
3,"Panda Squad","San Francisco","San Francisco Bay Area",California,USA,"North America",6,2020-03-13,75,8,2,Consumer,Seed,1,37.7792588,-122.4193286
4,Help.com,Austin,Unknown,Unknown,USA,"North America",16,2020-03-16,100,16,0,Support,Seed,6,30.2711286,-97.7436995
5,Inspirato,Denver,Unknown,Unknown,USA,"North America",130,2020-03-16,22,591,461,Travel,"Series C",79,39.7392364,-104.984862
6,Flytedesk,Boulder,Unknown,Unknown,USA,"North America",4,2020-03-18,20,20,16,Marketing,Seed,4,40.0149856,-105.270545
7,"Remote Year",Chicago,Unknown,Unknown,USA,"North America",50,2020-03-19,50,100,50,Travel,"Series B",17,41.8755616,-87.6244212
8,CTO.ai,Vancouver,Unknown,Unknown,Canada,"North America",30,2020-03-20,50,60,30,Infrastructure,Seed,7,49.2608724,-123.113952
9,"Flywheel Sports","New York City",Unknown,Unknown,USA,"North America",784,2020-03-20,98,800,16,Fitness,Acquired,120,40.7127281,-74.0060152
10,Compass,"New York City",Unknown,Unknown,USA,"North America",375,2020-03-23,15,2500,2125,"Real Estate","Series G",1600,40.7127281,-74.0060152
11,Convene,"New York City",Unknown,Unknown,USA,"North America",150,2020-03-23,18,833,683,"Real Estate","Series D",280,40.7127281,-74.0060152
12,GrayMeta,"Los Angeles",Unknown,California,USA,"North America",20,2020-03-23,40,50,30,Data,Unknown,7,34.0536909,-118.242766
13,"Ladder Life","Palo Alto","San Francisco Bay Area",California,USA,"North America",13,2020-03-23,25,52,39,Finance,"Series C",94,37.4443293,-122.1598465
14,Leafly,Seattle,Unknown,Unknown,USA,"North America",91,2020-03-23,50,182,91,Retail,Acquired,2,47.6038321,-122.330062
15,"The Guild",Austin,Unknown,Unknown,USA,"North America",38,2020-03-23,22,173,135,Travel,"Series B",36,30.2711286,-97.7436995
16,Triplebyte,"San Francisco","San Francisco Bay Area",California,USA,"North America",15,2020-03-23,17,88,73,HR,"Series B",48,37.7792588,-122.4193286
17,Foodsby,Minneapolis,Unknown,Unknown,USA,"North America",87,2020-03-24,67,130,43,Food,"Series B",20,44.9772995,-93.2654692
18,Sonder,"San Francisco","San Francisco Bay Area",California,USA,"North America",400,2020-03-24,33,1212,812,Travel,"Series D",359,37.7792588,-122.4193286
19,"Zeus Living","San Francisco","San Francisco Bay Area",California,USA,"North America",80,2020-03-24,30,267,187,"Real Estate","Series B",79,37.7792588,-122.4193286
20,Jama,Portland,Unknown,Unknown,USA,"North America",12,2020-03-25,5,240,228,Product,Unknown,233,45.5202471,-122.674194
21,OutboundEngine,Austin,Unknown,Unknown,USA,"North America",52,2020-03-25,28,186,134,Marketing,"Series C",48,30.2711286,-97.7436995
22,Overtime,"New York City",Unknown,Unknown,USA,"North America",30,2020-03-25,23,130,100,Media,"Series B",35,40.7127281,-74.0060152
24,WanderJaunt,"San Francisco","San Francisco Bay Area",California,USA,"North America",56,2020-03-25,23,243,187,Travel,"Series B",26,37.7792588,-122.4193286
25,Wonderschool,"San Francisco","San Francisco Bay Area",California,USA,"North America",50,2020-03-25,75,67,17,Education,"Series A",24,37.7792588,-122.4193286
26,B8ta,"San Francisco","San Francisco Bay Area",California,USA,"North America",250,2020-03-26,50,500,250,Retail,"Series C",88,37.7792588,-122.4193286
27,Consider.co,"Mountain View","San Francisco Bay Area",California,USA,"North America",13,2020-03-26,100,13,0,Other,Seed,5,37.3893889,-122.0832101
28,Ecobee,Toronto,Unknown,Unknown,Canada,"North America",47,2020-03-26,10,470,423,Energy,"Series C",149,43.6534817,-79.3839347
29,GoSpotCheck,Denver,Unknown,Unknown,USA,"North America",23,2020-03-26,20,115,92,Retail,"Series B",47,39.7392364,-104.984862
30,Peerspace,"San Francisco","San Francisco Bay Area",California,USA,"North America",41,2020-03-26,75,55,14,"Real Estate","Series B",34,37.7792588,-122.4193286
31,Puppet,Portland,Unknown,Unknown,USA,"North America",50,2020-03-26,10,500,450,Infrastructure,"Series F",149,45.5202471,-122.674194
32,Bench,Vancouver,Unknown,Unknown,Canada,"North America",47,2020-03-27,10,470,423,Finance,"Series B",49,49.2608724,-123.113952
33,Bevi,Boston,Unknown,Unknown,USA,"North America",30,2020-03-27,20,150,120,Food,"Series C",60,42.3554334,-71.060511
34,Bird,"Los Angeles",Unknown,California,USA,"North America",406,2020-03-27,30,1353,947,Transportation,"Series D",623,34.0536909,-118.242766
35,Blueground,"New York City",Unknown,Unknown,USA,"North America",130,2020-03-27,25,520,390,"Real Estate","Series B",77,40.7127281,-74.0060152
36,DataRobot,Boston,Unknown,Unknown,USA,"North America",200,2020-03-27,16,1200,1000,Data,"Series E",430,42.3554334,-71.060511
37,Getaround,"San Francisco","San Francisco Bay Area",California,USA,"North America",100,2020-03-27,25,400,300,Transportation,"Series D",403,37.7792588,-122.4193286
38,HOOQ,Singapore,Unknown,Unknown,Singapore,Asia,250,2020-03-27,100,250,0,Consumer,Unknown,95,1.2899175,103.8519072
39,Knotel,"New York City",Unknown,Unknown,USA,"North America",127,2020-03-27,30,423,296,"Real Estate","Series C",560,40.7127281,-74.0060152
40,Mogo,Vancouver,Unknown,Unknown,Canada,"North America",78,2020-03-27,30,260,182,Finance,Post-IPO,201,49.2608724,-123.113952
42,Textio,Seattle,Unknown,Unknown,USA,"North America",30,2020-03-27,20,150,120,HR,Unknown,41,47.6038321,-122.330062
43,Zipcar,Boston,Unknown,Unknown,USA,"North America",100,2020-03-27,20,500,400,Transportation,Acquired,107,42.3554334,-71.060511
44,TravelTriangle,Gurugram,Unknown,Unknown,India,Asia,250,2020-03-28,50,500,250,Travel,"Series D",47,28.4646148,77.0299194
45,Amplero,Seattle,Unknown,Unknown,USA,"North America",17,2020-03-29,100,17,0,Marketing,"Series B",25,47.6038321,-122.330062
46,ZipRecruiter,"Los Angeles",Unknown,California,USA,"North America",400,2020-03-29,39,1026,626,HR,"Series B",219,34.0536909,-118.242766
47,FabHotels,"New Delhi",Unknown,Unknown,India,Asia,80,2020-03-30,20,400,320,Travel,"Series B",48,28.6138954,77.2090057
48,Hibob,"Tel Aviv",Unknown,Unknown,Israel,Asia,70,2020-03-30,30,233,163,HR,"Series A",45,32.0852997,34.7818064
49,"Iris Nova","New York City",Unknown,Unknown,USA,"North America",9,2020-03-30,50,18,9,Food,Seed,15,40.7127281,-74.0060152
50,Loftsmart,"New York City",Unknown,Unknown,USA,"North America",25,2020-03-30,75,33,8,"Real Estate","Series A",18,40.7127281,-74.0060152
51,Maven,Seattle,Unknown,Unknown,USA,"North America",31,2020-03-30,9,344,313,Media,Post-IPO,77,47.6038321,-122.330062
52,PeerStreet,"Los Angeles",Unknown,California,USA,"North America",51,2020-03-30,30,170,119,Finance,"Series C",110,34.0536909,-118.242766
53,RigUp,Austin,Unknown,Unknown,USA,"North America",120,2020-03-30,25,480,360,Energy,"Series D",423,30.2711286,-97.7436995
54,Thumbtack,"San Francisco","San Francisco Bay Area",California,USA,"North America",250,2020-03-30,30,833,583,Consumer,"Series F",423,37.7792588,-122.4193286
55,AdRoll,"Salt Lake City",Unknown,Unknown,USA,"North America",210,2020-03-31,30,700,490,Marketing,"Series C",89,40.7596198,-111.886797
56,DialSource,Sacramento,Unknown,Unknown,USA,"North America",5,2020-03-31,14,36,31,Marketing,"Series B",26,38.5810606,-121.493895
57,KeepTruckin,"San Francisco","San Francisco Bay Area",California,USA,"North America",349,2020-03-31,18,1939,1590,Logistics,"Series D",227,37.7792588,-122.4193286
58,Rover,Seattle,Unknown,Unknown,USA,"North America",194,2020-03-31,41,473,279,Consumer,"Series G",310,47.6038321,-122.330062
59,Turo,"San Francisco","San Francisco Bay Area",California,USA,"North America",108,2020-03-31,30,360,252,Transportation,"Series E",467,37.7792588,-122.4193286
60,uShip,Austin,Unknown,Unknown,USA,"North America",65,2020-03-31,37,176,111,Logistics,"Series D",69,30.2711286,-97.7436995
61,Zenoti,Seattle,Unknown,Unknown,USA,"North America",17,2020-03-31,4,425,408,Fitness,"Series C",91,47.6038321,-122.330062
62,Acko,Mumbai,Unknown,Unknown,India,Asia,45,2020-04-01,9,500,455,Finance,Unknown,143,19.0785451,72.878176
63,"Aqua Security","Tel Aviv",Unknown,Unknown,Israel,Asia,24,2020-04-01,9,267,243,Security,"Series C",100,32.0852997,34.7818064
64,Crayon,Boston,Unknown,Unknown,USA,"North America",20,2020-04-01,20,100,80,Marketing,"Series A",16,42.3554334,-71.060511
65,Earnin,"Palo Alto","San Francisco Bay Area",California,USA,"North America",50,2020-04-01,20,250,200,Finance,"Series C",190,37.4443293,-122.1598465
66,Highsnobiety,Berlin,Unknown,Unknown,Germany,Europe,51,2020-04-01,25,204,153,Media,"Series A",9,52.5170365,13.3888599
67,"Incredible Health","San Francisco","San Francisco Bay Area",California,USA,"North America",9,2020-04-01,40,23,14,Healthcare,"Series A",15,37.7792588,-122.4193286
68,PatientPop,"Los Angeles",Unknown,California,USA,"North America",100,2020-04-01,20,500,400,Healthcare,"Series B",75,34.0536909,-118.242766
69,Sensibill,Toronto,Unknown,Unknown,Canada,"North America",17,2020-04-01,20,85,68,Finance,"Series B",50,43.6534817,-79.3839347
70,Showpad,Chicago,Unknown,Unknown,USA,"North America",52,2020-04-01,12,433,381,Marketing,"Series D",159,41.8755616,-87.6244212
71,Usermind,Seattle,Unknown,Unknown,USA,"North America",15,2020-04-01,25,60,45,Marketing,"Series C",46,47.6038321,-122.330062
72,Wonolo,"San Francisco","San Francisco Bay Area",California,USA,"North America",46,2020-04-01,13,354,308,HR,"Series C",52,37.7792588,-122.4193286
73,1stdibs,"New York City",Unknown,Unknown,USA,"North America",70,2020-04-02,17,412,342,Retail,"Series D",253,40.7127281,-74.0060152
74,ClassPass,"New York City",Unknown,Unknown,USA,"North America",154,2020-04-02,22,700,546,Fitness,"Series E",549,40.7127281,-74.0060152
75,"Coding Dojo",Seattle,Unknown,Unknown,USA,"North America",7,2020-04-02,7,100,93,Education,Unknown,2,47.6038321,-122.330062
76,"Dynamic Signal","San Bruno","San Francisco Bay Area",California,USA,"North America",35,2020-04-02,19,184,149,HR,"Series E",114,37.6248536,-122.4145986
77,eGym,Munich,Unknown,Unknown,Germany,Europe,100,2020-04-02,25,400,300,Fitness,"Series D",109,48.1371079,11.5753822
78,Industrious,"New York City",Unknown,Unknown,USA,"North America",90,2020-04-02,20,450,360,"Real Estate","Series D",222,40.7127281,-74.0060152
79,Instamojo,Bengaluru,Unknown,Unknown,India,Asia,6,2020-04-02,6,100,94,Finance,Unknown,8,12.98815675,77.62260004
80,Jobcase,Boston,Unknown,Unknown,USA,"North America",39,2020-04-02,20,195,156,HR,"Private Equity",118,42.3554334,-71.060511
81,Katerra,"Menlo Park","San Francisco Bay Area",California,USA,"North America",240,2020-04-02,3,8000,7760,Construction,"Series D",1200,37.4519671,-122.177992
82,MindBody,"San Luis Obispo",Unknown,California,USA,"North America",700,2020-04-02,35,2000,1300,Fitness,Post-IPO,114,35.3540209,-120.375716
83,Ritual,Toronto,Unknown,Unknown,Canada,"North America",196,2020-04-02,54,363,167,Food,"Series C",112,43.6534817,-79.3839347
84,"Sauce Labs","San Francisco","San Francisco Bay Area",California,USA,"North America",30,2020-04-02,15,200,170,Infrastructure,Unknown,151,37.7792588,-122.4193286
85,Synergysuite,"Salt Lake City",Unknown,Unknown,USA,"North America",5,2020-04-02,7,71,66,Food,"Series A",6,40.7596198,-111.886797
86,"The Predictive Investment",Boston,Unknown,Unknown,USA,"North America",59,2020-04-02,25,236,177,HR,Acquired,65,42.3554334,-71.060511
87,ThirdLove,"San Francisco","San Francisco Bay Area",California,USA,"North America",65,2020-04-02,30,217,152,Retail,"Series B",68,37.7792588,-122.4193286
88,TripleLift,"New York City",Unknown,Unknown,USA,"North America",23,2020-04-02,7,329,306,Marketing,"Series B",16,40.7127281,-74.0060152
89,"Arrive Logistics",Austin,Unknown,Unknown,USA,"North America",75,2020-04-03,7,1071,996,Logistics,"Series B",35,30.2711286,-97.7436995
90,"Bustle Digital Group","New York City",Unknown,Unknown,USA,"North America",24,2020-04-03,8,300,276,Media,"Series E",80,40.7127281,-74.0060152
91,D2iQ,"San Francisco","San Francisco Bay Area",California,USA,"North America",34,2020-04-03,13,262,228,Infrastructure,"Series D",247,37.7792588,-122.4193286
92,Gympass,"Sao Paulo",Unknown,Unknown,Brazil,"South America",467,2020-04-03,33,1415,948,Fitness,"Series D",300,-23.5506507,-46.6333824
93,Jetty,"New York City",Unknown,Unknown,USA,"North America",35,2020-04-03,40,88,53,Finance,"Series B",40,40.7127281,-74.0060152
94,Minted,"San Francisco","San Francisco Bay Area",California,USA,"North America",147,2020-04-03,37,397,250,Retail,"Series E",297,37.7792588,-122.4193286
95,Opencare,Toronto,Unknown,Unknown,Canada,"North America",18,2020-04-03,25,72,54,Healthcare,"Series A",24,43.6534817,-79.3839347
96,Salsify,Boston,Unknown,Unknown,USA,"North America",60,2020-04-03,13,462,402,Retail,"Series D",97,42.3554334,-71.060511
97,Sojern,"San Francisco","San Francisco Bay Area",California,USA,"North America",300,2020-04-03,50,600,300,Marketing,"Series D",162,37.7792588,-122.4193286
98,Iflix,"Kuala Lumpur",Unknown,Unknown,Malaysia,Asia,50,2020-04-04,12,417,367,Consumer,Unknown,348,3.1516964,101.6942371
99,Astra,Alameda,"San Francisco Bay Area",California,USA,"North America",40,2020-04-05,25,160,120,Aerospace,Unknown,100,37.6090291,-121.899142
100,Borrowell,Toronto,Unknown,Unknown,Canada,"North America",15,2020-04-06,20,75,60,Finance,"Series B",72,43.6534817,-79.3839347
101,BounceX,"New York City",Unknown,Unknown,USA,"North America",77,2020-04-06,20,385,308,Marketing,"Series B",75,40.7127281,-74.0060152
102,BusBud,Montreal,Unknown,Unknown,Canada,"North America",23,2020-04-06,32,72,49,Transportation,"Series B",21,45.5031824,-73.5698065
103,Cogito,Boston,Unknown,Unknown,USA,"North America",24,2020-04-06,14,171,147,Support,"Series C",92,42.3554334,-71.060511
104,Metromile,"San Francisco","San Francisco Bay Area",California,USA,"North America",100,2020-04-06,33,303,203,Finance,"Series E",293,37.7792588,-122.4193286
105,PerkSpot,Chicago,Unknown,Unknown,USA,"North America",10,2020-04-06,10,100,90,HR,"Private Equity",50,41.8755616,-87.6244212
106,"Rock Content","Belo Horizonte",Unknown,Unknown,Brazil,"South America",100,2020-04-06,20,500,400,Marketing,"Series A",1,-19.9227318,-43.9450948
107,Wordstream,Boston,Unknown,Unknown,USA,"North America",26,2020-04-06,10,260,234,Marketing,Acquired,28,42.3554334,-71.060511
108,Away,"New York City",Unknown,Unknown,USA,"North America",60,2020-04-07,10,600,540,Retail,"Series D",181,40.7127281,-74.0060152
109,"Branch Metrics","Palo Alto","San Francisco Bay Area",California,USA,"North America",100,2020-04-07,20,500,400,Marketing,"Series E",367,37.4443293,-122.1598465
110,ezCater,Boston,Unknown,Unknown,USA,"North America",400,2020-04-07,44,909,509,Food,"Series D",319,42.3554334,-71.060511
111,"Group Nine Media","New York City",Unknown,Unknown,USA,"North America",50,2020-04-07,7,714,664,Media,Unknown,190,40.7127281,-74.0060152
112,Ibotta,Denver,Unknown,Unknown,USA,"North America",87,2020-04-07,15,580,493,Retail,"Series D",85,39.7392364,-104.984862
113,MediaMath,"New York City",Unknown,Unknown,USA,"North America",53,2020-04-07,8,663,610,Marketing,"Private Equity",607,40.7127281,-74.0060152
114,Redfin,Seattle,Unknown,Unknown,USA,"North America",236,2020-04-07,7,3371,3135,"Real Estate",Post-IPO,319,47.6038321,-122.330062
115,"Sage Therapeutics",Boston,Unknown,Unknown,USA,"North America",340,2020-04-07,53,642,302,Healthcare,Post-IPO,438,42.3554334,-71.060511
116,Toast,Boston,Unknown,Unknown,USA,"North America",1300,2020-04-07,50,2600,1300,Food,"Series F",902,42.3554334,-71.060511
117,Button,"New York City",Unknown,Unknown,USA,"North America",48,2020-04-08,35,137,89,Marketing,"Series C",64,40.7127281,-74.0060152
118,"Eden / Managed â€¦","New York City",Unknown,Unknown,USA,"North America",40,2020-04-08,40,100,60,"Real Estate","Series B",40,40.7127281,-74.0060152
119,Eventbrite,"San Francisco","San Francisco Bay Area",California,USA,"North America",500,2020-04-08,45,1111,611,Consumer,Post-IPO,332,37.7792588,-122.4193286
120,GetNinjas,"Sao Paulo",Unknown,Unknown,Brazil,"South America",11,2020-04-08,10,110,99,Consumer,"Series B",16,-23.5506507,-46.6333824
121,Kenoby,"Sao Paulo",Unknown,Unknown,Brazil,"South America",18,2020-04-08,16,113,95,HR,Unknown,23,-23.5506507,-46.6333824
122,Lever,"San Francisco","San Francisco Bay Area",California,USA,"North America",86,2020-04-08,40,215,129,HR,"Series C",72,37.7792588,-122.4193286
123,Meesho,Bengaluru,Unknown,Unknown,India,Asia,200,2020-04-08,28,714,514,Retail,"Series D",215,12.98815675,77.62260004
124,Quantcast,"San Francisco","San Francisco Bay Area",California,USA,"North America",30,2020-04-08,5,600,570,Marketing,"Series C",65,37.7792588,-122.4193286
125,Scoop,"San Francisco","San Francisco Bay Area",California,USA,"North America",92,2020-04-08,33,279,187,Transportation,"Series C",95,37.7792588,-122.4193286
126,Spyce,Boston,Unknown,Unknown,USA,"North America",4,2020-04-08,12,33,29,Food,"Series A",26,42.3554334,-71.060511
127,Unbabel,Lisbon,Unknown,Unknown,Portugal,Europe,80,2020-04-08,35,229,149,Support,"Series C",91,38.7077507,-9.1365919
128,Unison,"San Francisco","San Francisco Bay Area",California,USA,"North America",89,2020-04-08,45,198,109,Finance,"Series B",40,37.7792588,-122.4193286
129,VideoAmp,"Los Angeles",Unknown,California,USA,"North America",21,2020-04-08,10,210,189,Marketing,"Series C",106,34.0536909,-118.242766
130,Clinc,"Ann Arbor",Unknown,Unknown,USA,"North America",40,2020-04-09,32,125,85,Support,"Series B",59,42.2813722,-83.7484616
131,Code42,Minneapolis,Unknown,Unknown,USA,"North America",25,2020-04-09,5,500,475,Data,"Series B",138,44.9772995,-93.2654692
132,Domo,"Salt Lake City",Unknown,Unknown,USA,"North America",90,2020-04-09,10,900,810,Data,Post-IPO,689,40.7596198,-111.886797
133,LoopMe,London,Unknown,Unknown,UK,Europe,8,2020-04-09,4,200,192,Marketing,Unknown,32,51.4893335,-0.144055085
134,Matterport,Sunnyvale,"San Francisco Bay Area",California,USA,"North America",90,2020-04-09,34,265,175,Data,"Series D",114,37.3688301,-122.036349
135,Mejuri,Toronto,Unknown,Unknown,Canada,"North America",36,2020-04-09,15,240,204,Retail,"Series B",28,43.6534817,-79.3839347
136,Omie,"Sao Paulo",Unknown,Unknown,Brazil,"South America",136,2020-04-09,31,439,303,Finance,"Series B",26,-23.5506507,-46.6333824
137,OneTrust,Atlanta,Unknown,Unknown,USA,"North America",150,2020-04-09,10,1500,1350,Legal,"Series B",410,33.7489924,-84.3902644
